=== DLL Injected into Minecraft ===
=== VimeWorld AutoMapper Started ===
Loading MCP mappings...
Looking for: C:\Users\hazel\AutoMapper\mappings\joined.srg
Class map: net/minecraft/util/EnumChatFormatting -> a
Class map: net/minecraft/command/server/CommandEmote -> aa
Class map: net/minecraft/item/ItemLeaves -> aaa
Class map: net/minecraft/item/ItemMap -> aab
Class map: net/minecraft/item/ItemBucketMilk -> aac
Class map: net/minecraft/item/ItemMinecart -> aad
Class map: net/minecraft/item/ItemMinecart$1 -> aad$1
Class map: net/minecraft/item/ItemMultiTexture -> aae
Class map: net/minecraft/item/ItemMultiTexture$1 -> aae$1
Class map: net/minecraft/item/ItemNameTag -> aaf
Class map: net/minecraft/item/ItemPickaxe -> aag
Class map: net/minecraft/item/ItemPiston -> aah
Class map: net/minecraft/item/ItemPotion -> aai
Class map: net/minecraft/item/EnumRarity -> aaj
Class map: net/minecraft/item/ItemRecord -> aak
Class map: net/minecraft/item/ItemRedstone -> aal
Class map: net/minecraft/item/ItemSaddle -> aam
Class map: net/minecraft/item/ItemSeedFood -> aan
Class map: net/minecraft/item/ItemSeeds -> aao
Class map: net/minecraft/item/ItemShears -> aap
Class map: net/minecraft/item/ItemSpade -> aaq
Class map: net/minecraft/item/ItemSign -> aar
Class map: net/minecraft/item/ItemSimpleFoiled -> aas
Class map: net/minecraft/item/ItemSkull -> aat
Class map: net/minecraft/item/ItemSlab -> aau
Class map: net/minecraft/item/ItemSnow -> aav
Class map: net/minecraft/item/ItemSnowball -> aaw
Class map: net/minecraft/item/ItemMonsterPlacer -> aax
Class map: net/minecraft/item/ItemSword -> aay
Class map: net/minecraft/item/ItemColored -> aaz
Class map: net/minecraft/command/CommandEnchant -> ab
Class map: net/minecraft/item/EnumAction -> aba
Class map: net/minecraft/item/ItemLilyPad -> abb
Class map: net/minecraft/item/ItemWritableBook -> abc
Class map: net/minecraft/item/ItemEditableBook -> abd
Class map: net/minecraft/potion/PotionHelper -> abe
Class map: net/minecraft/item/crafting/RecipesArmorDyes -> abh
Class map: net/minecraft/item/crafting/RecipesArmor -> abi
Class map: net/minecraft/item/crafting/RecipesBanners -> abj
Class map: net/minecraft/item/crafting/RecipesBanners$1 -> abj$1
Class map: net/minecraft/item/crafting/RecipesBanners$RecipeAddPattern -> abj$a
Class map: net/minecraft/item/crafting/RecipesBanners$RecipeDuplicatePattern -> abj$b
Class map: net/minecraft/item/crafting/RecipeBookCloning -> abk
Class map: net/minecraft/item/crafting/RecipesDyes -> abl
Class map: net/minecraft/item/crafting/RecipeFireworks -> abm
Class map: net/minecraft/item/crafting/RecipesFood -> abn
Class map: net/minecraft/item/crafting/FurnaceRecipes -> abo
Class map: net/minecraft/item/crafting/RecipesMapCloning -> abp
Class map: net/minecraft/item/crafting/RecipesMapExtending -> abq
Class map: net/minecraft/item/crafting/RecipesIngots -> abr
Class map: net/minecraft/item/crafting/IRecipe -> abs
Class map: net/minecraft/item/crafting/CraftingManager -> abt
Class map: net/minecraft/item/crafting/CraftingManager$1 -> abt$1
Class map: net/minecraft/item/crafting/RecipeRepairItem -> abu
Class map: net/minecraft/item/crafting/ShapedRecipes -> abv
Class map: net/minecraft/item/crafting/ShapelessRecipes -> abw
Class map: net/minecraft/item/crafting/RecipesCrafting -> abx
Class map: net/minecraft/item/crafting/RecipesTools -> aby
Class map: net/minecraft/item/crafting/RecipesWeapons -> abz
Class map: net/minecraft/command/CommandEntityData -> ac
Class map: net/minecraft/enchantment/EnchantmentArrowDamage -> acb
Class map: net/minecraft/enchantment/EnchantmentArrowFire -> acc
Class map: net/minecraft/enchantment/EnchantmentArrowInfinite -> acd
Class map: net/minecraft/enchantment/EnchantmentArrowKnockback -> ace
Class map: net/minecraft/enchantment/EnchantmentDamage -> acf
Class map: net/minecraft/enchantment/EnchantmentDurability -> acg
Class map: net/minecraft/enchantment/EnchantmentDigging -> ach
Class map: net/minecraft/enchantment/Enchantment -> aci
Class map: net/minecraft/enchantment/EnumEnchantmentType -> acj
Class map: net/minecraft/enchantment/EnchantmentHelper -> ack
Class map: net/minecraft/enchantment/EnchantmentHelper$1 -> ack$1
Class map: net/minecraft/enchantment/EnchantmentHelper$DamageIterator -> ack$a
Class map: net/minecraft/enchantment/EnchantmentHelper$HurtIterator -> ack$b
Class map: net/minecraft/enchantment/EnchantmentHelper$IModifier -> ack$c
Class map: net/minecraft/enchantment/EnchantmentHelper$ModifierLiving -> ack$d
Class map: net/minecraft/enchantment/EnchantmentHelper$ModifierDamage -> ack$e
Class map: net/minecraft/enchantment/EnchantmentData -> acl
Class map: net/minecraft/enchantment/EnchantmentFireAspect -> acm
Class map: net/minecraft/enchantment/EnchantmentFishingSpeed -> acn
Class map: net/minecraft/enchantment/EnchantmentKnockback -> aco
Class map: net/minecraft/enchantment/EnchantmentLootBonus -> acp
Class map: net/minecraft/enchantment/EnchantmentOxygen -> acq
Class map: net/minecraft/enchantment/EnchantmentProtection -> acr
Class map: net/minecraft/enchantment/EnchantmentThorns -> acs
Class map: net/minecraft/enchantment/EnchantmentUntouching -> act
Class map: net/minecraft/enchantment/EnchantmentWaterWalker -> acu
Class map: net/minecraft/enchantment/EnchantmentWaterWorker -> acv
Class map: net/minecraft/entity/IMerchant -> acy
Class map: net/minecraft/village/MerchantRecipe -> acz
Class map: net/minecraft/command/CommandExecuteAt -> ad
Class map: net/minecraft/command/CommandExecuteAt$1 -> ad$1
Class map: net/minecraft/village/MerchantRecipeList -> ada
Class map: net/minecraft/command/server/CommandBlockLogic -> adc
Class map: net/minecraft/command/server/CommandBlockLogic$1 -> adc$1
Class map: net/minecraft/command/server/CommandBlockLogic$2 -> adc$2
Class map: net/minecraft/tileentity/MobSpawnerBaseLogic -> add
Class map: net/minecraft/tileentity/MobSpawnerBaseLogic$WeightedRandomMinecart -> add$a
Class map: net/minecraft/block/BlockEventData -> ade
Class map: net/minecraft/util/EnumWorldBlockLayer -> adf
Class map: net/minecraft/world/ChunkCoordIntPair -> adg
Class map: net/minecraft/world/Explosion -> adi
Class map: net/minecraft/world/ColorizerFoliage -> adj
Class map: net/minecraft/world/GameRules -> adk
Class map: net/minecraft/world/GameRules$Value -> adk$a
Class map: net/minecraft/world/GameRules$ValueType -> adk$b
Class map: net/minecraft/world/ColorizerGrass -> adl
Class map: net/minecraft/world/World -> adm
Class map: net/minecraft/world/World$1 -> adm$1
Class map: net/minecraft/world/World$2 -> adm$2
Class map: net/minecraft/world/World$3 -> adm$3
Class map: net/minecraft/world/World$4 -> adm$4
Class map: net/minecraft/world/MinecraftException -> adn
Class map: net/minecraft/world/IWorldAccess -> ado
Class map: net/minecraft/world/WorldSettings -> adp
Class map: net/minecraft/world/WorldSettings$GameType -> adp$a
Class map: net/minecraft/world/IBlockAccess -> adq
Class map: net/minecraft/world/WorldType -> adr
Class map: net/minecraft/world/EnumSkyBlock -> ads
Class map: net/minecraft/world/SpawnerAnimals -> adt
Class map: net/minecraft/world/Teleporter -> adu
Class map: net/minecraft/world/Teleporter$PortalPosition -> adu$a
Class map: net/minecraft/world/ChunkCache -> adv
Class map: net/minecraft/world/NextTickListEntry -> adw
Class map: net/minecraft/world/biome/BiomeGenBeach -> adx
Class map: net/minecraft/world/biome/BiomeGenBase -> ady
Class map: net/minecraft/world/biome/BiomeGenBase$1 -> ady$1
Class map: net/minecraft/world/biome/BiomeGenBase$Height -> ady$a
Class map: net/minecraft/world/biome/BiomeGenBase$TempCategory -> ady$b
Class map: net/minecraft/world/biome/BiomeGenBase$SpawnListEntry -> ady$c
Class map: net/minecraft/world/biome/BiomeCache -> adz
Class map: net/minecraft/world/biome/BiomeCache$Block -> adz$a
Class map: net/minecraft/command/CommandXP -> ae
Class map: net/minecraft/world/biome/BiomeColorHelper -> aea
Class map: net/minecraft/world/biome/BiomeColorHelper$1 -> aea$1
Class map: net/minecraft/world/biome/BiomeColorHelper$2 -> aea$2
Class map: net/minecraft/world/biome/BiomeColorHelper$3 -> aea$3
Class map: net/minecraft/world/biome/BiomeColorHelper$ColorResolver -> aea$a
Class map: net/minecraft/world/biome/BiomeDecorator -> aeb
Class map: net/minecraft/world/biome/WorldChunkManager -> aec
Class map: net/minecraft/world/biome/BiomeGenDesert -> aed
Class map: net/minecraft/world/biome/BiomeGenHills -> aee
